Character,Support,Precision,Recall,F1,Accuracy
𑚀,4,0.8,1.0,0.8888888888888888,1.0
𑚀𑚫,4,1.0,1.0,1.0,1.0
𑚀𑚬,2,1.0,1.0,1.0,1.0
𑚁,4,1.0,0.75,0.8571428571428571,0.75
𑚂,3,0.5,1.0,0.6666666666666666,1.0
𑚃,4,0.6666666666666666,0.5,0.5714285714285714,0.5
𑚄,4,0.75,0.75,0.75,0.75
𑚅,3,1.0,1.0,1.0,1.0
𑚆,4,0.8,1.0,0.8888888888888888,1.0
𑚇,4,0.75,0.75,0.75,0.75
𑚈,4,0.5,0.5,0.5,0.5
𑚉,4,0.6,0.75,0.6666666666666666,0.75
𑚊,2,1.0,0.5,0.6666666666666666,0.5
𑚋,1,0.0,0.0,0.0,0.0
𑚌,1,0.5,1.0,0.6666666666666666,1.0
𑚍,1,1.0,1.0,1.0,1.0
𑚏,1,0.5,1.0,0.6666666666666666,1.0
𑚐,1,1.0,1.0,1.0,1.0
𑚑,1,1.0,1.0,1.0,1.0
𑚔,1,0.25,1.0,0.4,1.0
𑚕,1,1.0,1.0,1.0,1.0
𑚖,1,0.0,0.0,0.0,0.0
𑚗,1,0.0,0.0,0.0,0.0
𑚘,1,1.0,1.0,1.0,1.0
𑚙,1,0.0,0.0,0.0,0.0
𑚚,1,1.0,1.0,1.0,1.0
𑚛,1,0.0,0.0,0.0,0.0
𑚜,1,0.0,0.0,0.0,0.0
𑚝,1,1.0,1.0,1.0,1.0
𑚞,1,0.0,0.0,0.0,0.0
𑚟,1,1.0,1.0,1.0,1.0
𑚠,1,0.0,0.0,0.0,0.0
𑚡,1,0.0,0.0,0.0,0.0
𑚢,2,0.5,1.0,0.6666666666666666,1.0
𑚣,1,0.0,0.0,0.0,0.0
𑚤,1,0.0,0.0,0.0,0.0
𑚥,1,1.0,1.0,1.0,1.0
𑚦,2,0.0,0.0,0.0,0.0
𑚧,1,0.0,0.0,0.0,0.0
𑚨,1,0.0,0.0,0.0,0.0
𑚩,1,1.0,1.0,1.0,1.0
